coord_x,coord_y,garage,rooms,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist
-43.98869735,-19.9017923,0,3,0,"RUA A,N. s/n, JARDIM CAIÇARAS, LEOPOLDINA, LEOPOLDINA",63,Terreno,2.94,0.02,0.02
-43.96405015,-19.9027163,0,0,144.94,"RUA JULIANO MARQUES DUARTE,N. 194-A BAIRRO ILHA GAMA CERQUEIRA, ALÉM PARAÍBA, ALEM PARAIBA",91,Prédio,0.8,0.09,0.11
-43.96405015,-19.9027163,4,0,0,"LOTE 34 R. MARIA ABADIA A. BRASILEIRO BAIRRO PARQUE PAINEIRAS, ARAGUARI, ARAGUARI",44,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,3,54,"RUA DOIS,N. 252 SEGUIMENTO DA RUA FLORIANO PEIXOTO, GOIAS, ARAGUARI",34,Casa,0.8,0.09,0.11
-43.9829814,-19.8849124,1,2,56.18,"RUA JOSE FARIA TAVARES,N. 45, OURO PRETO, BELO HORIZONTE",83,Apartamento,2.42,0.27,0.16
-43.96405015,-19.9027163,0,0,0,"AVENIDA RIO VERDE,N. S/N BOSQUE DAS FONTES-POCINHOS DO RIO VERDE, CALDAS, CALDAS",448,Terreno,0.8,0.09,0.11
-42.6969805,-21.3789016,0,3,100,"AV. GUIDO MARLIERE,N. 665, MENEZES, CATAGUASES",49,Apartamento,205,202.32,201.89
-44.9059476,-20.1501449,1,3,0,"RUA ÉRICO VERÍSSIMO,N. 416, SANTA LUZIA, DIVINOPOLIS",145,Apartamento,95.24,90.27,90.29
-41.9646192,-18.8359661,0,2,127.75,"RUA JATOBÁ,N. 36, CIDADE NOVA, GOVERNADOR VALADARES",67,Casa,231.1,228.3,228.17
-43.4209768,-21.7122067,0,2,0,"JOSE MARINI DE SOUZA,N. 301, NOVA ERA, JUIZ DE FORA",80,Apartamento,200.84,196.83,196.89
-43.96405015,-19.9027163,2,3,192.21,"RUA JOSÉ HORTON DE MORAES,N. 451 BAIRRO CERÂMICA, CERÂMICA, LAMBARI",210,Casa,0.8,0.09,0.11
-44.2299374,-21.1411946,1,2,43.4,"RUA DAS VIOLETAS,N. 285 A CASA 02, CENTRO, MATOZINHOS",35,Casa,130.31,125.09,125.06
-44.986302,-19.8743683,0,3,65.26,"RUA BANDEIRANTES,N. 105 BAIRRO SANTA CRUZ, NOVA SERRANA, NOVA SERRANA",53,Casa,101.09,97.34,97.34
-48.306972,-18.9002812,0,3,151,"RUA REALINO FRANCISCO DA COSTA,N. 117, JARDIM BRASILIA, UBERLANDIA",145,Casa,463.58,461.28,461.3
-43.96405015,-19.9027163,0,2,0,"RUA MANUEL DE LIMA MALDONADO,N. 103, PARQUE SANTO ANTONIO, UBERLANDIA",55,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,3,3,170.05,"RUA PADRE VICENTE PLÁCIDO BORGES,N. 1125, CENTRO, CONCEICAO DAS ALAGOAS",265,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RODOVIA JAMIL NASSER ÁREA DESMEMBRADA A-4 SÍTIO MOINHO DE VENTO (RODOVIA MG 450), GUAXUPÉ, GUAXUPE",415,Terreno,0.8,0.09,0.11
-43.957973,-19.87170495,0,0,0,"LT 01 E SETOR DE HANGARES BAIRRO AEROPORTO, JOÃO PINHEIRO, JOAO PINHEIRO",1,Comercial,0.26,0.22,0.13
-43.9567836,-19.8838042,0,3,74.82,"RUA FREI CIPRIANO,N. 180, NOVA CACHOEIRINHA, BELO HORIZONTE",110,Apartamento,0.66,0.04,0.02
-43.96405015,-19.9027163,0,2,46,"RUA ANTONIO GERALDO DA SILVA,N. 16 BAIRRO IGREJINHA, IGREJINHA, AIMORES",45,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA PAULO SERGIO MOSCONI,N. 134 CHÁCARA PIRAPITINGA, ANDRADAS, ANDRADAS",78,Casa,0.8,0.09,0.11
-43.9697548,-19.9793554,0,0,34.11,"RUA ALESSANDRA SALUM CADAR,N. 415 SALA 607, BURITIS, BELO HORIZONTE",135,Sala,3.75,0.14,0.32
-43.96405015,-19.9027163,0,0,109.37,"RUA BLENDA,N. 251 RUA ZIRCÔNIO 510, CAMARGOS, BELO HORIZONTE",200,Apartamento,0.8,0.09,0.11
-44.1973999,-19.9444105,0,3,65.6,"AVENIDA JOSE INACIO FILHO,N. 1001, SENHORA DAS GRACAS, BETIM",161,Apartamento,19.01,14.49,14.51
-43.96405015,-19.9027163,0,2,0,"RUA VICENTE XAVIER DE REZENDE,N. 15 CS 02, BAIRRO SANTO ANTONIO, BORDA DA MATA, BORDA DA MATA",150,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA JOAQUIM LUCIO POVOADO DE SAO JOSE LAT-19º25ª31,68 LON-42º15ª17,94, BUGRE, BUGRE",42,Terreno,0.8,0.09,0.11
-43.3524635,-19.70541705,0,0,0,"RUA JOAQUIM LUCIO,N. S/N POVOADO DE SAO JOSE, BUGRE, BUGRE",41,Terreno,59.15,55.77,55.68
-43.96405015,-19.9027163,0,0,339.9,"RUA UM, CENTRO, BUGRE",56,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,38.05,"AV. 19-C,N. 125, CAMPINA VERDE, CAMPINA VERDE",55,Casa,0.8,0.09,0.11
-40.7711428,-17.6979268,0,0,351.51,"RUA SATURNO,N. 591, CARLOS CHAGAS, CARLOS CHAGAS",550,Casa,405.35,402.89,402.75
-44.0435441,-19.878727,1,2,0,"ALAMEDA DOS SABIÁS,N. 680, CABRAL, CONTAGEM",195,Apartamento,3.47,2.62,2.69
-44.0457851,-19.9689409,1,0,60.68,"RUA UM,N. 190, PARQUE DAS MANGUEIRAS, CONTAGEM",146,Apartamento,3.38,0.56,0.59
-44.0666967,-19.9233379,1,3,0,"RUA CAMBUQUIRA,N. 55, SANTA EDWIGES, CONTAGEM",210,Apartamento,5.29,4.3,4.25
-44.0498259,-19.9712168,1,2,0,"RUA SETE,N. 201, SANTA MARIA, CONTAGEM",145,Apartamento,3.75,0.34,0.27
-43.96405015,-19.9027163,0,3,0,"RUA SÃO PAULO,N. 111 BAIRRO TAQUARIL, COROMANDEL, COROMANDEL",90,Casa,0.8,0.09,0.11
-43.9734084,-19.8883177,0,0,360,"RUA ONZE,N. S/Nº, CENTRO, ESMERALDAS",32,Terreno,1.67,0.39,0.3
-43.96405015,-19.9027163,0,0,0,"AVENIDA PREFEITO ANTONIO QUINTINO DA SILVA,N. 478 BAIRRO LAGO AZUL, FAMA, FAMA",213,Comercial,0.8,0.09,0.11
-43.96405015,-19.9027163,0,3,0,"AVENIDA BRASIL,N. 105 BAIRRO VILA RESIDENCIAL FURNAS, FRONTEIRA, FRONTEIRA",230,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"LT 02 (ALAMEDA DAS QUARESMEIRAS) BAIRRO GRAN ROYALLE AEROPORTO, CONFINS, CONFINS",154,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,3,0,"RUA VALDIVINA MARIA RODRIGUES,N. 75 SETOR 04, CENTRO, LAGOA GRANDE",841,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,1,59.64,"RUA CAMPO FLORIDO,N. 690 BAIRRO JARDIM ÂNGELO PASSUELO, FRONTEIRA, FRONTEIRA",60,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,2,70.65,"RUA JOVELINA CANDIDA DE QUEIROZ,N. 72 CS 01, BAIRRO CANARINHO, IGARAPÉ, IGARAPE",112,Casa,0.8,0.09,0.11
-42.1228307,-19.5495524,0,0,0,"RUA OSVALDO SILVA ARAUJO,N. 136 CENTRO, INHAPIM",202,Terreno,189.11,185.6,185.53
-43.96405015,-19.9027163,0,3,0,"RUA DOMINGOS BARCELOS,N. 114 BAIRRO CANTINHO DO CEU, MUTUM, MUTUM",43,Casa,0.8,0.09,0.11
-44.0686099,-19.9997414,1,3,105.13,"RUA PAU BRASIL,N. 1123, ELDORADO, CONTAGEM",108,Apartamento,6.26,1.52,1.56
-43.96405015,-19.9027163,0,0,0,"RUA PROFESSOR FILGUEIRAS,N. 97 BAIRRO PALESTINA, PERDOES, PERDOES",191,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"PRAÇA SANTA RITA (LT 14),N. (111) FUNDOS DO PREDIO DE NÚMERO 99, CENTRO, SANTA RITA DO SAPUCAI",416,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA JERONIMO DIAS DE OLIVEIRA,N. 233 ENTRADA PELA TRAVESSA N. SRA DAS GRAÇAS, CENTRO, TEOFILO OTONI",136,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA DAS PALMEIRAS,N. 659 BAIRRO JD.DAS ALTEROSAS, TRES CORACOES, TRES CORACOES",107,Casa,0.8,0.09,0.11
-45.0295712,-18.6842565,0,0,250,"RUA MANOEL PEREIRA DA SILVA,N. S/N, CENTRO, TUPACIGUARA",28,Terreno,169.35,163.76,163.76
-43.96405015,-19.9027163,0,2,0,"AVENIDA CARLYLE GUIMARÃES CARDOSO,N. 277-B BAIRRO SANTO ANTÔNIO, ALMENARA, ALMENARA",51,Casa,0.8,0.09,0.11
-43.975149,-19.9429755,1,2,87.8,"RUA SANTOS,N. 689, JARDIM AMERICA, BELO HORIZONTE",58,Apartamento,1.93,0.09,0.09
-43.954799,-19.8434654,0,0,0,"RUA SÃO MIGUEL,N. 1230, JARDIM ATLANTICO, BELO HORIZONTE",176,Apartamento,1.36,0.15,0.03
-43.9905232,-19.871688,1,2,83.27,"RUA JOSE RIBEIRO FILHO,N. 35, OURO PRETO, BELO HORIZONTE",231,Apartamento,3.23,0.03,0.03
-43.9910332,-19.8778164,1,2,70.13,"RUA JONAS VANUCCI LINS,N. 50, PAQUETA, BELO HORIZONTE",258,Apartamento,3.18,0.08,0.08
-43.9474984,-19.83275555,1,0,0,"RUA OSÓRIO DUQUE ESTRADA,N. 454, PLANALTO, BELO HORIZONTE",157,Apartamento,2,0.14,0.07
-44.1862315,-19.95446555,1,0,58.11,"AVENIDA TAPAJOS,N. 2634, RIACHO DE AREIA, BETIM",136,Apartamento,18.2,13.12,13.14
