coord_x,coord_y,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-43.96405015,-19.9027163,69.8,"RUA SOBRADINHO,N. 318 BAIRRO JARDIM PARAÍSO, CANDEIAS, CANDEIAS",30,3,0.09,0.09,0.11,5,Caiçaras
-49.3586892,-16.8023267,66.82,"Rua Diadema, JARDIM HIMALAIA, APARECIDA DE GOIANIA",78,3,656.48,656.5,656.5,6,
-43.96405015,-19.9027163,0,"RUA DOMINGOS BARCELOS,N. 114 BAIRRO CANTINHO DO CEU, MUTUM, MUTUM",85,3,0.09,0.09,0.11,5,Caiçaras
-44.08517435,-19.5458485,0,"RUA PRESIDENTE PRUDENTE DE MORAIS,N. 190 B CASA 03 BAIRRO PRESIDENTE, MATOZINHOS, MATOZINHOS",49,3,28.38,28.35,28.35,6,
-48.2262934,-18.9200498,165,"RUA DOMINGOS DE FREITAS,N. 531, SANTA MONICA, UBERLANDIA",329,3,452.55,452.5,452.53,6,
-43.96405015,-19.9027163,0,"RUA SANTOS DUMONT,N. 1761 BAIRRO NOSSA SENHORA APARECIDA, JACINTO, JACINTO",89,3,0.09,0.09,0.11,5,Caiçaras
-44.8526569,-20.1724007,59.66,"RUA GUADALAJARA,N. 1021, PADRE EUSTAQUIO, DIVINOPOLIS",83,3,85.41,85.42,85.44,6,
-43.96405015,-19.9027163,213.11,"RUA AGLIMAR DORISTO DE OLIVEIRA,N. 110, CONC. DAS ALAGOAS, CONCEICAO DAS ALAGOAS",69,3,0.09,0.09,0.11,5,Caiçaras
-44.0204496,-19.8313929,65.4,"RUA HUM,N. 423, CONJUNTO NOVA PAMPULHA (JUSTINOPOLI, RIBEIRAO DAS NEVES",80,1,0.47,0.48,0.43,6,
-43.96405015,-19.9027163,0,"RUA MANGABEIRAS,N. 184 CS 02, BAIRRO FLORESTA ENCANTADA, ESMERALDAS, ESMERALDAS",112,3,0.09,0.09,0.11,5,Caiçaras
-44.7137961,-17.628297,0,"RUA DEZESSETE,N. 99 BAIRRO PEDRAS GRANDES, VARZEA DA PALMA, VARZEA DA PALMA",66,3,250.72,250.68,250.68,6,
-49.2662071,-16.7977725,99.49,"Av. Pedro Cornelio/33 Bl-01, INDUSTRIAL SANTO ANTONIO, APARECIDA DE GOIANIA",45,1,648.33,648.36,648.36,6,
-43.96405015,-19.9027163,97.72,"AVENIDA LIBERDADE,N. 533 (VILA EDUARDO GIRAUDON), CENTRO, FRONTEIRA",27,3,0.09,0.09,0.11,5,Caiçaras
-44.2409426,-19.4259961,81.1,"AVENIDA PREFEITO ALBERTO MOURA,N. 1359, DISTRITO INDUSTRIAL, SETE LAGOAS",137,1,47.78,47.73,47.73,6,
-43.96405015,-19.9027163,83.25,"AVENIDA QUATORZE,N. 3065 BAIRRO NOVO HORIZONTE, SÃO FRANCISCO SALES, SAO FRANCISCO DE SALES",42,3,0.09,0.09,0.11,5,Caiçaras
-43.987341,-19.9633607,0,"RUA SÃO FELICÍSSIMO,N. 265, ESTRELA DO ORIENTE, BELO HORIZONTE",148,1,0.18,0.18,0.15,7,Estrela do Oriente
-43.9851909,-19.8181868,0,"AVENIDA A,N. S/N, BAIRRO SERAFIM PEIXOTO, JOSÉ RAYDAN, JOSE RAYDAN",21,4,0.06,0.08,0.01,9,Rio Branco
-56.0231398,-15.6321388,360,"CASA Rua 6 L 2, ALTOS DO COXIPO, CUIABA",33,3,1355.12,1355.13,1355.11,6,
-42.2584282,-19.4187646,73.65,"RUA CHICO CHUMBO,N. 26, CENTRO, BUGRE",103,1,174.98,174.87,174.78,6,
-43.96405015,-19.9027163,59.64,"RUA CAMPO FLORIDO,N. 690 BAIRRO JARDIM ÂNGELO PASSUELO, FRONTEIRA, FRONTEIRA",60,3,0.09,0.09,0.11,5,Caiçaras
-48.2947847,-18.9247163,0,"RUA VARGINHA,N. 93 BAIRRO OSWALDO, UBERLÂNDIA, UBERLANDIA",160,3,459.36,459.32,459.34,6,
-43.7748962,-20.2604081,0,"(RUA JOSE EDUARDO RODRIGUES), ITABIRITO, ITABIRITO",45,4,35.4,35.16,34.92,6,
-44.0747456,-19.7593199,45.83,"RUA MOACIR MENEZES,N. 1560, BOM SOSSEGO, RIBEIRAO DAS NEVES",40,1,9.06,9.13,9.05,6,
-42.1543573,-19.3368037,569.97,"RUA OURO PRETO,N. 190, CENTRO, SAO JOAO DO ORIENTE",271,2,188.04,187.91,187.81,6,
-44.3004111,-20.0517643,0,"RUA JUCA CIPÓ,N. 65 CASA 02, IGARAPÉ, IGARAPE",70,3,26.22,26.23,26.25,6,
-49.9412558,-18.6955617,0,"AVENIDA TRIANGULO,N. 222, CENTRO, IPIACU",86,3,633.72,633.69,633.71,6,
-47.2095375,-18.4715597,0,"RUA VIGILATO PEREIRA,N. 233 BAIRRO SAGRADA FAMILIA, COROMANDEL, COROMANDEL",78,3,368.1,368.11,368.11,6,
-44.0778135,-19.7573093,123.29,"RUA MONTE AZUL,N. 64, SEVILHA (1A SECAO), RIBEIRAO DAS NEVES",124,1,9.45,9.52,9.44,6,
-43.96405015,-19.9027163,74.4,"RUA GILBERTO GONÇALVES RIOS,N. 94 BAIRRO PADRE LIBÉRIO, PADRE LIBÉRIO, PITANGUI",42,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,59.81,"Rua Manaus, JARDIM AMERICA IV, AGUAS LINDAS DE GOIAS",34,3,0.09,0.09,0.11,5,Caiçaras
-43.9794702,-19.9824817,0,"AVENIDA SENADOR JOSE AUGUSTO,N. 80, BURITIS, BELO HORIZONTE",367,1,0.56,0.44,0.1,7,Buritis
-44.0457851,-19.9689409,0,"VIA ARTERIAL,N. 615 BL. 13, PARQUE DAS MANGUEIRAS, CONTAGEM",152,1,0.56,0.56,0.59,6,
-43.96405015,-19.9027163,0,"RUA MILTON PEREIRA DOS REIS,N. 41, CENTRO, SAO FELIX DE MINAS",88,3,0.09,0.09,0.11,5,Caiçaras
-46.59995165,-20.72456055,0,"RUA DOS BARIRIS,N. 246 LOTEAMENTO NOVO HORIZONTE, PASSOS, PASSOS",283,3,277.55,277.56,277.58,6,
-43.96405015,-19.9027163,0,"AVENIDA BRUNO SALES ABREU,N. 185 CS B, ÁREA 19, BAIRRO ALTO DO CASTELO, MURIAÉ, MURIAE",115,3,0.09,0.09,0.11,5,Caiçaras
-43.96405015,-19.9027163,0,"AVENIDA PREFEITO ANTONIO QUINTINO DA SILVA,N. 478 BAIRRO LAGO AZUL, FAMA, FAMA",213,2,0.09,0.09,0.11,5,Caiçaras
