coord_x,coord_y,size,address,type,price,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-43.9178246,-19.9017078,70,"Rua Maria Martins GuimarÃ£es, Sagrada Família, Belo Horizonte",1,230,0.05,0.05,0.08,3,Sagrada Família
-43.9655711,-19.830867,90,"Rua SÃ£o JoÃ£o do Oriente, Santa Branca, Belo Horizonte",1,320,0.05,0.03,0.07,8,Santa Branca
-43.9768099,-19.8298762,70,"Rua Zapotecas,Dos, Santa Mônica, Belo Horizonte",3,230,0.14,0.09,0.07,9,Santa Mônica
-43.9460441,-19.9466026,119,"Rua Abre Campo, Santo Antônio, Belo Horizonte",1,350,0.26,0.05,0.05,2,Santo Antônio
-44.0215574,-19.9357045,65,"Rua Gentil Portugal do Brasil, Camargos, Belo Horizonte",3,230,0.12,0.12,0.11,7,Camargos
-43.9753733,-19.9284249,95,"Rua Marcilio Dias, Nova Suissa, Belo Horizonte",1,340,0.11,0.09,0.06,7,Nova Suissa
-43.9869197,-19.9653932,80,"Rua Fernando CÃ¢ndido de Souza, Estrela do Oriente, Belo Horizonte",3,280,0.03,0.03,0.05,7,Estrela do Oriente
-43.9608078,-19.9120657,85,"Rua Padre EustÃ¡quio, Carlos Prates, Belo Horizonte",3,340,0.09,0.02,0.03,5,Carlos Prates
-43.9587342,-19.874256,77,"Rua AlcobaÃ§a, São Francisco, Belo Horizonte",1,346,0.04,0.2,0.16,8,São Francisco
-43.9679917,-19.9162382,78,"Rua Frederico Bracher JÃºnior, Carlos Prates, Belo Horizonte",1,235,0.07,0.04,0.03,5,Carlos Prates
-43.9823913,-19.82147405,90,,1,330,0.14,0.05,0.06,9,Rio Branco
-43.9783482,-19.9812272,70,"Avenida Senador JosÃ© Augusto, Buritis, Belo Horizonte",1,330,0.5,0.36,0.09,7,Buritis
-43.9477526,-19.8901517,68,"Rua Senhora da ConceiÃ§Ã£o, Cachoeirinha, Belo Horizonte",1,275,0.14,0.05,0.04,4,Cachoeirinha
-43.9783482,-19.9812272,70,"Avenida Senador JosÃ© Augusto, Buritis, Belo Horizonte",3,350,0.5,0.36,0.09,7,Buritis
-43.9803173,-19.9017242,67,"Rua AntÃ´nio CesÃ¡rio da Rocha, Caiçara-Adelaide, Belo Horizonte",3,330,0.1,0.13,0.06,5,Caiçara-Adelaide
-43.91773175,-19.87240335,89,,3,335,0.19,0.22,0.04,4,Fernão Dias
-43.8986682,-19.864155,73,"Rua Trucal, Goiânia, Belo Horizonte",3,230,0.15,0.11,0.07,4,Goiânia
-43.9724628,-19.9197968,65,"Rua Dom SilvÃ©rio, Padre Eustáquio, Belo Horizonte",3,340,0.1,0.05,0.09,5,Padre Eustáquio
-43.9790443,-19.9488606,85,"Rua VirgÃ­lio Pedro de Almeida, Salgado Filho, Belo Horizonte",3,330,0.01,0.12,0.13,7,Salgado Filho
-43.96628035,-19.8702698,93,"Rua Geraldo Bicalho, Campus UFMG, Belo Horizonte",1,325,0.9,0.8,0.76,8,Campus UFMG
-43.9782669,-19.9659592,69,"Rua Professor Nelson Figueiredo, Parque São José, Belo Horizonte",1,320,0.1,0.08,0.08,7,Parque São José
-44.0018048,-19.9300968,85,"Rua Bueno do Prado, João Pinheiro, Belo Horizonte",3,225,0.16,0.16,0.02,5,João Pinheiro
-44.0058243,-19.9218414,76,"Rua dos Bandolins, Conjunto Califórnia I, Belo Horizonte",1,220,0.1,0.06,0.05,5,Conjunto Califórnia I
-43.9840801,-19.9479759,66,"Rua Campo Formoso, Salgado Filho, Belo Horizonte",1,300,0.08,0.01,0.04,7,Salgado Filho
-43.9176222,-19.9425651,72,"Rua CaraÃ§a, Serra, Belo Horizonte",3,345,0.11,0.08,0.06,2,Serra
-43.9713798,-19.9728735,65,"Rua Tereza Mota Valadares, Buritis, Belo Horizonte",1,270,0.31,0.17,0.14,7,Buritis
-43.9659819,-19.9437747,70,"Rua Belfort Roxo, Nova Granada, Belo Horizonte",3,255,0.05,0.07,0.07,7,Nova Granada
-43.9644742,-19.931056,100,"Avenida Amazonas, Barroca, Belo Horizonte",1,295,0.1,0.06,0.03,7,Barroca
-43.9815426,-19.9597338,79,"Rua JÃºlio de Castilho, Cinqüentenário, Belo Horizonte",3,311,0.26,0.05,0.02,7,Cinqüentenário
-43.9575239,-19.9327286,100,"Rua AndrÃ© Cavalcanti, Gutierrez, Belo Horizonte",3,350,0.03,0.03,0.02,7,Gutierrez
-43.9394538,-19.8292586,81,"Rua Alga Vermelha, Jardim Guanabara, Belo Horizonte",3,340,0.22,0.17,0.09,6,Jardim Guanabara
-43.9368594,-19.8368551,80,"Rua Engenheiro Alfredo Castilho, Floramar, Belo Horizonte",1,305,0.1,0.08,0.07,6,Floramar
-43.9694287,-19.8288081,70,"Rua Geralda Cirino Flor de Maio, Santa Mônica, Belo Horizonte",1,280,0.07,0.07,0.02,8,Santa Mônica
-44.0058243,-19.9218414,109,"Rua dos Bandolins, Conjunto Califórnia I, Belo Horizonte",1,285,0.1,0.06,0.05,5,Conjunto Califórnia I
-43.9701992,-19.9461569,70,"Avenida BarÃ£o Homem de Melo, Barão Homem de Melo IV, Belo Horizonte",3,235,0.06,0.07,0.03,7,Barão Homem de Melo IV
-43.968676,-19.9347952,90,"R Catete, Alto Barroca, Belo Horizonte",3,330,0.03,0.05,0.03,7,Alto Barroca
-43.9654496,-19.8262713,130,"Rua Geralda Marinho, São João Batista, Belo Horizonte",3,300,0.05,0.17,0.08,9,São João Batista
-43.9263305,-19.9122959,90,"Rua Pouso Alegre, Floresta, Belo Horizonte",3,270,0.11,0.08,0.01,3,Floresta
-43.9964176,-19.8940102,82,"Rua Doutor LuÃ­s Ratton, Manacás, Belo Horizonte",3,258,0.14,0.17,0.12,8,Manacás
-43.927291,-19.9108276,68,"Rua Serravite, Floresta, Belo Horizonte",3,350,0.13,0.08,0.03,3,Floresta
-43.9131488,-19.9244469,70,"Rua Maestro DelÃª Andrade, Santa Efigênia, Belo Horizonte",3,345,0.03,0.02,0.02,3,Santa Efigênia
-43.9324714,-19.9039241,71,"Rua JacuÃ­, Floresta, Belo Horizonte",3,320,0.12,0.04,0.06,3,Floresta
-43.9104122,-19.8877305,70,"Rua Centralina, Santa Inês, Belo Horizonte",1,330,0.11,0.09,0.01,3,Santa Inês
-43.9658139,-19.9690223,78,"Rua VitÃ³rio Magnavacca, Buritis, Belo Horizonte",3,289,0.11,0.06,0.04,7,Buritis
-43.9192665,-19.8745958,70,"Avenida Joaquim JosÃ© Diniz, Dom Joaquim, Belo Horizonte",1,330,0.08,0.05,0.07,4,Dom Joaquim
-43.9200689,-19.9402716,108,"Rua do Ouro, Serra, Belo Horizonte",3,280,0.15,0.04,0.04,2,Serra
-43.9713875,-19.8276735,75,"Rua JosÃ© do PatrocÃ­nio, Santa Mônica, Belo Horizonte",1,290,0.1,0.03,0.04,9,Santa Mônica
-43.9292152,-19.8883766,85,"Avenida Cristiano Machado, Cidade Nova, Belo Horizonte",1,315,0.03,0.1,0.09,4,Cidade Nova
-43.9926977,-19.8275634,76,"Rua Marrocos, Apolônia, Belo Horizonte",1,250,0.05,0.03,0.04,9,Apolônia
-44.0164509,-19.9406049,69,"Rua Stella Camargos, Camargos, Belo Horizonte",3,180,0.11,0.04,0.02,7,Camargos
-43.9489235,-19.8373278,108,"Rua Iracema Souza Pinto, Planalto, Belo Horizonte",1,350,0.1,0.09,0.05,6,Planalto
-43.9219331,-19.8985208,67,"Rua SÃ£o Roque, Sagrada Família, Belo Horizonte",1,265,0.17,0.11,0.02,3,Sagrada Família
-43.9833075,-19.9175805,121,"Rua Professor Raphael Hardy, Padre Eustáquio, Belo Horizonte",1,350,0.14,0.18,0.05,5,Padre Eustáquio
-43.9754592,-19.9522187,65,"Rua AzalÃ©ia Branca, Havaí, Belo Horizonte",3,249,0.21,0.08,0.08,7,Havaí
-44.0028681,-19.8834559,70,"Rua Castelo de SÃ£o Jorge, Castelo, Belo Horizonte",1,322,0.15,0.28,0.28,8,Castelo
-43.9725805,-19.9474644,75,"Rua Santos, Jardim América, Belo Horizonte",3,315,0.11,0.08,0.04,7,Jardim América
-43.9673862,-19.933815,86,"Rua Armindo Chaves, Alto Barroca, Belo Horizonte",1,270,0.12,0.11,0.04,7,Alto Barroca
-43.9690355,-19.969514,75,"Rua Ernani Agricola, Buritis, Belo Horizonte",3,325,0.2,0.15,0.19,7,Buritis
-43.9179838,-19.8867993,100,"Avenida JosÃ© CÃ¢ndido da Silveira, Horto Florestal, Belo Horizonte",3,340,0.18,0.17,0.11,3,Horto Florestal
-43.9909569,-19.9374923,66,"Rua Dom Oscar Romero, Nova Gameleira, Belo Horizonte",1,220,0.07,0.08,0.03,7,Nova Gameleira
-43.9558251,-19.949228,75,"Rua Doutor HelvÃ©cio Arantes, Luxemburgo, Belo Horizonte",3,315,0.17,0.08,0.03,2,Luxemburgo
-43.9653881,-19.9623529,82,"Rua Paulo Piedade Campos, Estoril, Belo Horizonte",3,296,0.05,0.1,0.12,7,Estoril
-43.9631387,-19.9388188,88,"Rua General Andrade Neves, Gutierrez, Belo Horizonte",1,320,0.03,0.02,0.02,7,Gutierrez
-43.9991176,-19.8900184,70,"Rua ConceiÃ§Ã£o Aparecida Augsten, Castelo, Belo Horizonte",3,240,0.11,0.1,0.08,8,Castelo
-44.0111377,-19.8772875,104,"Avenida Henfil, Serrano, Belo Horizonte",3,265,0.04,0.1,0.03,8,Serrano
-43.9783482,-19.9812272,65,"Avenida Senador JosÃ© Augusto, Buritis, Belo Horizonte",3,300,0.5,0.36,0.09,7,Buritis
-43.9956421,-19.8693275,65,"Rua Frei Martinho Burnier, Paquetá, Belo Horizonte",1,280,0.09,0.04,0.06,8,Paquetá
-43.9490132,-19.9520738,116,"Rua Visconde do Rio das Velhas, Vila Paris, Belo Horizonte",3,345,0.25,0.08,0.08,2,Vila Paris
-43.9394538,-19.8292586,69,"Rua Alga Vermelha, Jardim Guanabara, Belo Horizonte",3,310,0.22,0.17,0.09,6,Jardim Guanabara
-44.0076226,-19.8957976,67,"Rua Uirapiana, Alípio de Melo, Belo Horizonte",1,280,0.08,0.13,0.1,8,Alípio de Melo
-43.9855261,-19.8682685,78,"Avenida Fleming, Ouro Preto, Belo Horizonte",1,320,0.15,0.08,0.03,8,Ouro Preto
-43.9061113,-19.924877,75,"Rua Malaquito, Paraíso, Belo Horizonte",1,350,0.08,0.12,0.08,3,Paraíso
-43.9815426,-19.9597338,81,"Rua JÃºlio de Castilho, Cinqüentenário, Belo Horizonte",1,280,0.26,0.05,0.02,7,Cinqüentenário
-43.9815426,-19.9597338,70,"Rua Julio de Castilho, Cinqüentenário, Belo Horizonte",3,311,0.26,0.05,0.02,7,Cinqüentenário
-43.9780623,-19.9349037,80,"Rua JoÃ£o Caetano, Nova Suissa, Belo Horizonte",3,350,0.05,0.06,0.09,7,Nova Suissa
-43.99455165,-19.79971105,75,,3,185,0.12,0.14,0.14,9,Maria Helena
-43.9726868,-19.9387847,89,"Rua JacarepaguÃ¡, Barão Homem de Melo I, Belo Horizonte",3,300,0.06,0.06,0.02,7,Barão Homem de Melo I
-43.919827,-19.9095882,80,"Rua Dona Nancy de Vasconcelos Gomes, Sagrada Família, Belo Horizonte",3,350,0.01,0.04,0.08,3,Sagrada Família
-43.9496009,-19.82456,87,"Rua dos Jacamins, Vila Clóris, Belo Horizonte",3,300,0.09,0.14,0.1,6,Vila Clóris
-43.9584282,-19.8531235,75,"Rua Mascarenhas de Morais, São Luíz, Belo Horizonte",3,310,0.03,0.15,0.08,8,São Luíz
